Section,Start Timestamp,End Timestamp,First Final Blow,First Death,First Ultimate Used,Team 1 Number Final Blows,Team 1 Number Deaths,Team 1 Number Ultimates Used,Team 2 Number Final Blows,Team 2 Number Deaths,Team 2 Number Ultimates Used,Team 1 FBs,Team 1 Deaths,Team 1 Ultimates Used,Team 2 FBs,Team 2 Deaths,Team 2 Ultimates Used
0,9,152,Sopris|Sigma,Krop|Reinhardt,Pixels|Baptiste,16,9,7,9,16,5,Sigma|Junkrat|Sigma|Symmetra|Junkrat|Reinhardt|Junkrat|Sigma|Junkrat|Symmetra|Baptiste|Junkrat|Reinhardt|Reinhardt|Reinhardt|Reinhardt,Baptiste|Reinhardt|Lucio|Reinhardt|Junkrat|Symmetra|Symmetra|Junkrat|Lucio,Baptiste|Sigma|Junkrat|Symmetra|Reinhardt|Sigma|Lucio,Sigma|Junkrat|Reinhardt|Symmetra|Symmetra|Symmetra|Junkrat|Junkrat|Junkrat,Reinhardt|Sigma|Symmetra|Lucio|Lucio|Reinhardt|Sigma|Baptiste|Junkrat|Sigma|Reinhardt|Symmetra|Baptiste|Junkrat|Sigma|Lucio,Junkrat|Symmetra|Baptiste|Reinhardt|Lucio
0,161,190,JSillyGDH|Junkrat,Matrix|Symmetra,Pixels|Baptiste,0,6,1,6,0,3,,Symmetra|Junkrat|Reinhardt|Baptiste|Lucio|Sigma,Baptiste,Junkrat|Junkrat|Sigma|Junkrat|Reinhardt|Baptiste,,Junkrat|Baptiste|Symmetra
0,204,258,Deadlock|Sigma,Grizz|Reinhardt,Matrix|Symmetra,4,6,3,5,5,2,Reinhardt|Junkrat|Junkrat|Junkrat,Reinhardt|Sigma|Junkrat|Baptiste|Symmetra|Reinhardt,Symmetra|Reinhardt|Junkrat,Sigma|Reinhardt|Lucio|Symmetra|Sigma,Baptiste|Lucio|Sigma|Symmetra|Reinhardt,Sigma|Reinhardt
0,266,277,Sopris|Sigma,Deadlock|WreckingBall,JAX|Baptiste,5,0,0,0,5,1,Sigma|Baptiste|Baptiste|Baptiste|Reinhardt,,,,WreckingBall|Lucio|Symmetra|Reinhardt|Baptiste,Baptiste
1,10,27,Krop|Reinhardt,Grizz|Reinhardt,,0,6,0,6,0,0,,Reinhardt|Baptiste|Symmetra|Lucio|Sigma|Mei,,Reinhardt|Symmetra|Symmetra|Symmetra|Sigma|Sigma,,
1,42,60,Krop|Reinhardt,Pixels|Baptiste,Krop|Reinhardt,0,6,0,6,0,1,,Baptiste|Mei|Symmetra|Reinhardt|Lucio|Sigma,,Reinhardt|Reinhardt|Reinhardt|Reinhardt|McCree|Reinhardt,,Reinhardt
1,76,121,Sopris|Sigma,JussieSmolet|Lucio,JSillyGDH|McCree,1,5,1,5,1,3,Sigma,Lucio|Reinhardt|Mei|Sigma|Symmetra,Baptiste,Reinhardt|Reinhardt|Reinhardt|Sigma|Sigma,Lucio,McCree|Baptiste|Sigma
1,135,163,Krop|Reinhardt,Matrix|Symmetra,Matrix|Symmetra,4,2,5,2,4,4,Reinhardt|Reinhardt|Sigma|Reinhardt,Symmetra|Mei,Symmetra|Sigma|Reinhardt|Baptiste|Lucio,Reinhardt|Symmetra,Symmetra|Reinhardt|Baptiste|Lucio,Symmetra|McCree|Reinhardt|Lucio
1,174,222,Chaos|Symmetra,Pixels|Baptiste,JAX|Baptiste,0,7,1,7,0,3,,Baptiste|Reinhardt|Sigma|Lucio|Doomfist|Mei|Baptiste,Mei,Symmetra|Sigma|Reinhardt|McCree|Reinhardt|Sigma|Reinhardt,,Baptiste|Sigma|McCree
2,16,36,JSillyGDH|Pharah,Pixels|Zenyatta,,4,3,0,2,4,0,Tracer|WreckingBall|WreckingBall|WreckingBall,Zenyatta|Brigitte|Sigma,,Pharah|Sigma,Echo|Zenyatta|Sigma|Mercy,
2,45,51,Pixels|Zenyatta,Krop|WreckingBall,,2,0,0,0,2,0,Zenyatta|WreckingBall,,,,WreckingBall|Pharah,
2,69,80,,,,0,0,0,0,0,0,,,,,,
