ts,player,dmg done,dmg taken,healing done,ult charge,elims,deaths
0.50,Ana,0,0,0,0,0,0
0.50,Lúcio,0,0,0,0,0,0
0.67,Matrix,0,0,0,0,0,0
1.50,Ana,0,0,0,0,0,0
1.50,Lúcio,0,0,0,0,0,0
1.68,Matrix,0,0,0,0,0,0
2.51,Ana,0,0,0,0,0,0
2.51,Lúcio,0,0,0,0,0,0
2.69,Matrix,0,0,0,0,0,0
3.52,Ana,0,0,0,0,0,0
3.52,Lúcio,0,0,0,0,0,0
3.69,Matrix,0,0,0,0,0,0
4.53,Ana,0,0,0,0,0,0
4.53,Lúcio,0,0,0,0,0,0
4.70,Matrix,0,0,0,0,0,0
5.53,Ana,0,0,0,1,0,0
5.53,Lúcio,0,0,0,0,0,0
5.71,Matrix,0,0,0,0,0,0
6.54,Ana,0,0,0,1,0,0
6.54,Lúcio,0,0,0,1,0,0
6.72,Matrix,0,0,0,0,0,0
7.55,Ana,0,0,0,1,0,0
7.55,Lúcio,0,0,0,1,0,0
7.73,Matrix,0,0,0,0,0,0
8.56,Ana,0,0,0,1,0,0
8.56,Lúcio,0,0,0,1,0,0
8.73,Matrix,0,0,0,0,0,0
9.57,Ana,0,0,0,2,0,0
9.57,Lúcio,0,0,0,1,0,0
9.74,Matrix,0,0,0,0,0,0
10.57,Ana,0,0,0,2,0,0
10.57,Lúcio,0,0,0,1,0,0
10.75,Matrix,0,0,0,1,0,0
11.58,Ana,0,0,0,2,0,0
11.58,Lúcio,0,0,0,1,0,0
11.76,Matrix,0,0,0,1,0,0
12.59,Ana,0,0,0,2,0,0
12.59,Lúcio,0,0,0,2,0,0
12.77,Matrix,0,0,0,2,0,0
13.60,Ana,0,0,0,3,0,0
13.60,Lúcio,0,0,0,2,0,0
13.77,Matrix,0,0,0,2,0,0
14.61,Ana,0,0,0,3,0,0
14.61,Lúcio,0,0,0,2,0,0
14.78,Matrix,0,0,0,2,0,0
15.61,Ana,0,0,0,3,0,0
15.61,Lúcio,0,0,0,2,0,0
15.79,Matrix,0,0,0,2,0,0
