[00:00:00] ts,player,dmg done,dmg taken,healing done,ult charge,elims,deaths
[00:00:00] 0.61,Ana,0,0,0,0,0,0
[00:00:00] 0.61,Lúcio,0,0,0,0,0,0
[00:00:00] 0.74,Matrix,0,0,0,0,0,0
[00:00:01] 1.62,Ana,0,0,0,0,0,0
[00:00:01] 1.62,Lúcio,0,0,0,0,0,0
[00:00:01] 1.74,Matrix,0,0,0,0,0,0
[00:00:02] 2.62,Ana,0,0,0,0,0,0
[00:00:02] 2.62,Lúcio,0,0,0,0,0,0
[00:00:02] 2.75,Matrix,0,0,0,0,0,0
[00:00:03] 3.63,Ana,0,0,0,0,0,0
[00:00:03] 3.63,Lúcio,0,0,0,0,0,0
[00:00:03] 3.76,Matrix,0,0,0,0,0,0
[00:00:04] 4.64,Ana,0,0,0,0,0,0
[00:00:04] 4.64,Lúcio,0,0,0,0,0,0
[00:00:04] 4.77,Matrix,0,0,0,0,0,0
[00:00:05] 5.65,Ana,0,0,0,1,0,0
[00:00:05] 5.65,Lúcio,0,0,0,0,0,0
[00:00:05] 5.78,Matrix,0,0,0,0,0,0
[00:00:06] 6.66,Ana,0,0,0,1,0,0
[00:00:06] 6.66,Lúcio,0,0,0,1,0,0
[00:00:06] 6.78,Matrix,0,0,0,0,0,0
[00:00:07] 7.66,Ana,0,0,0,1,0,0
[00:00:07] 7.66,Lúcio,0,0,0,1,0,0
[00:00:07] 7.79,Matrix,0,0,0,0,0,0
[00:00:08] 8.67,Ana,0,0,0,1,0,0
[00:00:08] 8.67,Lúcio,0,0,0,1,0,0
[00:00:08] 8.80,Matrix,0,0,0,0,0,0
[00:00:09] 9.68,Ana,0,0,0,2,0,0
[00:00:09] 9.68,Lúcio,0,0,0,1,0,0
[00:00:09] 9.81,Matrix,0,0,0,0,0,0
[00:00:10] 10.69,Ana,0,0,0,2,0,0
[00:00:10] 10.69,Lúcio,0,0,0,1,0,0
[00:00:10] 10.81,Matrix,0,0,0,0,0,0
[00:00:11] 11.69,Ana,0,0,0,2,0,0
[00:00:11] 11.69,Lúcio,0,0,0,1,0,0
[00:00:11] 11.82,Matrix,0,0,0,0,0,0
[00:00:12] 12.70,Ana,0,0,0,2,0,0
[00:00:12] 12.70,Lúcio,0,0,0,2,0,0
[00:00:12] 12.83,Matrix,0,0,0,0,0,0
[00:00:13] 13.71,Ana,0,0,0,3,0,0
[00:00:13] 13.71,Lúcio,0,0,0,2,0,0
[00:00:13] 13.84,Matrix,0,0,0,0,0,0
[00:00:14] 14.72,Ana,0,0,0,3,0,0
[00:00:14] 14.72,Lúcio,0,0,0,2,0,0
[00:00:14] 14.85,Matrix,0,0,0,0,0,0
[00:00:15] 15.73,Ana,0,0,0,3,0,0
[00:00:15] 15.73,Lúcio,0,0,0,2,0,0
[00:00:15] 15.85,Matrix,0,0,0,0,0,0
[00:00:16] 16.74,Ana,0,0,0,3,0,0
[00:00:16] 16.74,Lúcio,0,0,0,2,0,0
[00:00:16] 16.86,Matrix,0,0,0,0,0,0
[00:00:17] 17.74,Ana,0,0,0,4,0,0
[00:00:17] 17.74,Lúcio,0,0,0,2,0,0
[00:00:17] 17.87,Matrix,0,0,0,0,0,0
[00:00:18] 18.75,Ana,0,0,0,4,0,0
[00:00:18] 18.75,Lúcio,0,0,0,3,0,0
[00:00:18] 18.88,Matrix,0,0,0,1,0,0
[00:00:19] 19.76,Ana,0,0,0,4,0,0
[00:00:19] 19.76,Lúcio,0,0,0,3,0,0
[00:00:19] 19.89,Matrix,0,0,0,1,0,0
[00:00:20] 20.77,Ana,0,0,0,4,0,0
[00:00:20] 20.77,Lúcio,0,0,0,3,0,0
[00:00:20] 20.90,Matrix,0,0,0,1,0,0
[00:00:21] 21.77,Ana,0,0,0,5,0,0
[00:00:21] 21.77,Lúcio,0,0,0,3,0,0
[00:00:21] 21.90,Matrix,0,0,0,2,0,0
[00:00:22] 22.78,Ana,0,0,0,5,0,0
[00:00:22] 22.78,Lúcio,0,0,0,3,0,0
[00:00:22] 22.91,Matrix,0,0,0,2,0,0
[00:00:23] 23.79,Ana,0,0,0,5,0,0
[00:00:23] 23.79,Lúcio,0,0,0,3,0,0
[00:00:23] 23.92,Matrix,0,0,0,3,0,0
[00:00:24] 24.80,Ana,0,0,0,5,0,0
[00:00:24] 24.80,Lúcio,0,0,0,4,0,0
[00:00:24] 24.93,Matrix,0,0,0,3,0,0
[00:00:25] 25.81,Ana,0,0,0,5,0,0
[00:00:25] 25.81,Lúcio,0,0,0,4,0,0
[00:00:25] 25.93,Matrix,0,0,0,3,0,0
[00:00:26] 26.82,Ana,0,0,0,6,0,0
[00:00:26] 26.82,Lúcio,0,0,0,4,0,0
[00:00:26] 26.94,Matrix,0,0,0,4,0,0
[00:00:27] 27.82,Ana,0,0,0,6,0,0
[00:00:27] 27.82,Lúcio,0,0,0,4,0,0
[00:00:27] 27.95,Matrix,0,0,0,4,0,0
[00:00:28] 28.83,Ana,0,0,0,6,0,0
[00:00:28] 28.83,Lúcio,0,0,0,4,0,0
[00:00:28] 28.96,Matrix,0,0,0,5,0,0
[00:00:29] 29.84,Ana,0,0,0,6,0,0
[00:00:29] 29.84,Lúcio,0,0,0,4,0,0
[00:00:29] 29.97,Matrix,0,0,0,5,0,0
[00:00:30] 30.85,Ana,0,0,0,7,0,0
[00:00:30] 30.85,Lúcio,0,0,0,5,0,0
[00:00:30] 30.98,Matrix,0,0,0,5,0,0
[00:00:31] 31.85,Ana,0,0,0,7,0,0
[00:00:31] 31.85,Lúcio,0,0,0,5,0,0
[00:00:31] 31.98,Matrix,0,0,0,6,0,0
[00:00:32] 32.86,Ana,0,0,0,7,0,0
[00:00:32] 32.86,Lúcio,0,0,0,5,0,0
[00:00:32] 32.99,Matrix,0,0,0,6,0,0
[00:00:33] 33.87,Ana,0,0,0,7,0,0
[00:00:33] 33.87,Lúcio,0,0,0,5,0,0
[00:00:34] 34.00,Matrix,0,0,0,7,0,0
[00:00:34] 34.88,Ana,0,30,0,8,0,0
[00:00:34] 34.88,Lúcio,0,0,0,5,0,0
[00:00:35] 35.01,Matrix,30,0,0,9,0,0
[00:00:35] 35.89,Ana,0,30,0,8,0,0
[00:00:35] 35.89,Lúcio,0,72,5.79,6,0,0
[00:00:36] 36.01,Matrix,138,0,0,18,0,0
[00:00:36] 36.90,Ana,20,30,0,9,0,0
[00:00:36] 36.90,Lúcio,6.25,180,23.02,7,0,0
[00:00:37] 37.02,Matrix,210,26.25,0,25,0,0
[00:00:37] 37.90,Ana,20,30,0,9,0,0
[00:00:37] 37.90,Lúcio,6.25,180,42.61,8,0,0
[00:00:38] 38.03,Matrix,216,26.25,0,25,0,0
[00:00:38] 38.91,Ana,20,30,0,9,0,0
[00:00:38] 38.91,Lúcio,10.25,246,55.18,8,0,0
[00:00:39] 39.04,Matrix,300,34.25,0,32,0,0
[00:00:39] 39.92,Ana,20,30,0,10,0,0
[00:00:39] 39.92,Lúcio,18.25,270,59.34,9,0,0
[00:00:40] 40.05,Matrix,300,38.25,0,34,0,0
[00:00:40] 40.93,Ana,20,30,18.75,11,0,0
[00:00:40] 40.93,Lúcio,34.25,288,61.70,10,0,0
[00:00:41] 41.06,Matrix,330,60.50,0,36,0,0
[00:00:41] 41.94,Ana,20,30,37.50,12,0,0
[00:00:41] 41.94,Lúcio,40.50,300,65.25,10,0,0
[00:00:42] 42.06,Matrix,330,60.50,0,36,0,0
[00:00:42] 42.94,Ana,20,48,37.50,12,0,0
[00:00:42] 42.94,Lúcio,40.50,300,68.79,10,0,0
[00:00:43] 43.07,Matrix,348,60.50,0,38,0,0
[00:00:43] 43.95,Ana,20,102,37.50,12,0,0
[00:00:43] 43.95,Lúcio,40.50,300,72.34,11,0,0
[00:00:44] 44.08,Matrix,402,60.50,0,43,0,0
[00:00:44] 44.96,Ana,20,102,37.50,13,0,0
[00:00:44] 44.96,Lúcio,40.50,300,74.70,11,0,0
[00:00:45] 45.09,Matrix,402,60.50,0,43,0,0
[00:00:45] 45.97,Ana,20,126,37.50,13,0,0
[00:00:45] 45.97,Lúcio,44.50,300,78.25,11,0,0
[00:00:46] 46.10,Matrix,456,64.50,0,49,0,0
[00:00:46] 46.97,Ana,20,204,37.50,13,0,0
[00:00:46] 46.97,Lúcio,44.50,300,80.61,12,0,0
[00:00:47] 47.10,Matrix,504,64.50,0,52,0,0
[00:00:47] 47.98,Ana,20,230,37.50,13,0,1
[00:00:47] 47.98,Lúcio,44.50,300,82.97,12,0,0
[00:00:48] 48.11,Matrix,522,64.50,0,54,0,0
[00:00:48] 48.99,Ana,20,230,37.50,14,0,1
[00:00:48] 48.99,Lúcio,44.50,300,86.52,12,0,0
[00:00:49] 49.12,Matrix,530,64.50,0,55,1,0
[00:00:50] 50.00,Ana,20,230,37.50,14,0,1
[00:00:50] 50.00,Lúcio,44.50,358.97,91.24,12,0,0
[00:00:50] 50.13,Matrix,594.97,64.50,0,60,1,0
[00:00:51] 51.01,Ana,20,230,37.50,14,0,1
[00:00:51] 51.01,Lúcio,48.50,394.97,93.61,13,0,0
[00:00:51] 51.13,Matrix,624.97,68.50,0,63,1,0
[00:00:52] 52.01,Ana,20,230,37.50,14,0,1
[00:00:52] 52.01,Lúcio,48.50,394.97,98.66,13,0,0
[00:00:52] 52.14,Matrix,648.93,68.50,0,67,1,0
[00:00:53] 53.02,Ana,20,230,37.50,15,0,1
[00:00:53] 53.02,Lúcio,64.50,447.49,108.26,14,0,0
[00:00:53] 53.15,Matrix,682.11,84.50,0,69,1,0
[00:00:54] 54.03,Ana,20,230,37.50,15,0,1
[00:00:54] 54.03,Lúcio,64.50,468.56,115.94,15,0,0
[00:00:54] 54.16,Matrix,698.56,84.50,0,70,1,0
[00:00:55] 55.04,Ana,20,230,37.50,15,0,1
[00:00:55] 55.04,Lúcio,64.50,468.56,115.94,15,0,0
[00:00:55] 55.17,Matrix,711.85,84.50,0,72,1,0
[00:00:56] 56.05,Ana,20,230,37.50,15,0,1
[00:00:56] 56.05,Lúcio,72.50,536.97,117.22,15,0,0
[00:00:56] 56.17,Matrix,766.97,92.50,0,76,1,0
[00:00:57] 57.06,Ana,20,230,37.50,16,0,1
[00:00:57] 57.06,Lúcio,72.50,536.97,121.95,16,0,0
[00:00:57] 57.18,Matrix,766.97,92.50,0,77,1,0
[00:00:58] 58.06,Ana,20,230,37.50,16,0,1
[00:00:58] 58.06,Lúcio,72.50,602.97,124.31,16,0,0
[00:00:58] 58.19,Matrix,832.97,92.50,0,82,1,0
[00:00:59] 59.07,Ana,20,230,37.50,16,0,1
[00:00:59] 59.07,Lúcio,72.50,602.97,127.86,16,0,0
[00:00:59] 59.20,Matrix,832.97,92.50,0,83,1,0
[00:01:00] 60.08,Ana,20,230,37.50,16,0,1
[00:01:00] 60.08,Lúcio,72.50,638.97,130.22,17,0,0
[00:01:00] 60.21,Matrix,868.97,102.75,0,86,1,0
[00:01:01] 61.09,Ana,20,230,37.50,17,0,1
[00:01:01] 61.09,Lúcio,82.75,638.97,133.77,17,0,0
[00:01:01] 61.22,Matrix,868.97,102.75,0,89,1,0
[00:01:02] 62.10,Ana,20,230,64.05,19,0,1
[00:01:02] 62.10,Lúcio,82.75,668.97,136.13,17,0,0
[00:01:02] 62.22,Matrix,898.97,102.75,0,89,1,0
[00:01:03] 63.10,Ana,20,230,90,20,0,1
[00:01:03] 63.10,Lúcio,82.75,668.97,139.67,18,0,0
